district,system:time_start,precipitation,year,month,day,gaugeRelativeWeighting,precipitationQualityIndex,randomError,SW_Lon,SW_Lat,NE_Lon,NE_Lat,NW_Lon,NW_Lat,SE_Lon,SE_Lat
Barguna,2000-06-01,0.5071951310809065,2000,6,1,86.0,22.337804468666636,0.03768292741804588,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2000-07-01,0.7331707521182735,2000,7,1,86.0,29.567803871340868,0.042341465993625364,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2000-08-01,0.5296829619058749,2000,8,1,86.0,24.171707385923806,0.03700000047683716,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2000-09-01,0.3773658733542373,2000,9,1,86.0,27.973169791989214,0.02734146417095894,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2000-10-01,0.2927073240280152,2000,10,1,86.0,24.568047686320984,0.024000000208616257,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2000-11-01,0.03802439152467542,2000,11,1,88.0,30.837804794311527,0.006000000052154064,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2000-12-01,0.0,2000,12,1,92.0,23.13439010992283,0.0020000000949949026,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-01-01,0.0,2001,1,1,92.0,26.369511906693624,0.0020000000949949026,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-02-01,0.051975612051603275,2001,2,1,88.0,20.2378044128418,0.008658537073288022,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-03-01,0.007658536909375249,2001,3,1,89.34146341463416,22.926828849606398,0.003000000026077032,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-04-01,0.05300000309944153,2001,4,1,88.0,34.75341294451458,0.007000000216066837,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-05-01,0.4867561103367225,2001,5,1,85.0,29.91316995388124,0.03134146482661004,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-06-01,1.1455122552266936,2001,6,1,86.0,24.64243856290492,0.06402439078906688,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-07-01,0.7233171026881149,2001,7,1,85.0,25.33048732106279,0.045682928729348066,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-08-01,0.31070733070373535,2001,8,1,86.0,21.910974828208367,0.027000000700354576,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-09-01,0.44980491007246626,2001,9,1,86.0,23.914145074239592,0.0333414639278156,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-10-01,0.396439047848306,2001,10,1,85.65853658536587,30.96682906732327,0.027000000700354576,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-11-01,0.14773171849367098,2001,11,1,86.0,27.608291951621457,0.014341463902738038,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2001-12-01,0.0,2001,12,1,92.0,25.874634347310884,0.0020000000949949026,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
Barguna,2002-01-01,0.021000001579523087,2002,1,1,88.34146341463415,29.27073050708306,0.004658536883298217,90.099503,22.1407739,90.136123,22.1773939,90.099503,22.1773939,90.136123,22.1407739
